key,enabled,instrumentation_exist
SENSOR_SDK_DOTNET_DATABASE_REQUEST,true,true
SENSOR_ZAGENT_CICS_MQ,true,true
SENSOR_ZAGENT_IMS_MPR_MQ,true,true
SENSOR_JAVA_IMSSOAP_TAGGING_FORCIBLE,true,true
SENSOR_SDK_JAVA_INCOMING_WEBREQUEST,true,true
SENSOR_JAVA_CUSTOM_SERVICE,true,true
SENSOR_PHP_PDO,true,true
SENSOR_PHP_CODEIGNITER,true,true
SENSOR_DOTNET_HTTP_TAGGING,true,true
JAVA_TIBCO_BW5_START_WORKFLOW,true,false
AMBIENT_SAMPLING_CAPTURING,true,false
SENSOR_NODEJS_CORE_TIMERS,true,true
SENSOR_PHP_MYSQL,true,true
ROW_COUNT_CAPTURING,true,false
SENSOR_JAVA_BIZEVENTS_HTTP_INCOMING,false,false
JAVA_CASP_CALL_COUNTER,false,false
SENSOR_JAVA_EXCEPTION,true,true
SENSOR_GO_REDIS,false,false
SENSOR_PHP_RESPONSECODE,true,true
OPENTRACINGNATIVE_ENVOY_CLIENT_SERVER,false,false
OPENTRACINGNATIVE_ENVOY_ISTIO_SIDECAR_MONITORING_FORCIBLE,true,false
SENSOR_DOTNET_ASPNET,true,true
SENSOR_SDK_NATIVE_INCOMING_MESSAGING,true,true
GO_EXTERNAL_METADATA,true,false
SENSOR_PHP_WORDPRESS,false,false
SENSOR_JAVA_JDBC,true,true
DOTNET_HTTP_TAGGING_SENSOR_V2,false,false
METRICS_ENRICHMENT_NON_INSTRUMENTED_TECH,false,false
SENSOR_GO_GRPC_FORCIBLE,true,true
JAVA_JDK11_HTTP_CLIENT,true,false
SENSOR_GO_BIZEVENTS_HTTP_INCOMING,false,false
GRPC_TRACE_CONTEXT,false,false
SENSOR_DOTNET_MSMQ,true,true
DOTNET_ASPNET_HTTPSELFHOSTSERVER,true,false
SENSOR_DOTNET_ADO,true,true
SENSOR_JAVA_HTTP,true,true
SENSOR_PHP_GRPC,false,false
SENSOR_NODEJS_CONNECT,true,true
SENSOR_SDK_NATIVE_CUSTOM_REQUEST_ATTRIBUTE,true,true
SENSOR_SDK_NATIVE_OUTGOING_WEBREQUEST,true,true
JAVA_SERVLET_5_SUPPORT_FORCIBLE,true,false
SENSOR_PHP_CURL,true,true
SENSOR_PHP_EXCEPTION,true,true
